Noise,SNR,Model,EER
AirConditioner,0,campplus,0.16093566336331458
AirConditioner,0,ecapa_tdnn,0.17306577914909924
AirConditioner,0,redimnet,0.15237441656994619
AirConditioner,10,campplus,0.08838428631192538
AirConditioner,10,ecapa_tdnn,0.09964018648495696
AirConditioner,10,redimnet,0.07780450387624492
AirConditioner,15,campplus,0.067479809242427
AirConditioner,15,ecapa_tdnn,0.07825073370975842
AirConditioner,15,redimnet,0.05776126756005952
AirConditioner,20,campplus,0.05357835161029248
AirConditioner,20,ecapa_tdnn,0.06329970113243068
AirConditioner,20,redimnet,0.044856938208629876
AirConditioner,5,campplus,0.11788809465168139
AirConditioner,5,ecapa_tdnn,0.12984819434852252
AirConditioner,5,redimnet,0.10751409610820364
Babble,0,campplus,0.20625583299278838
Babble,0,ecapa_tdnn,0.22154021212619346
Babble,0,redimnet,0.20263105942138301
Babble,10,campplus,0.10435488011571764
Babble,10,ecapa_tdnn,0.11761699050232616
Babble,10,redimnet,0.09620181011207714
Babble,15,campplus,0.07722145777658093
Babble,15,ecapa_tdnn,0.08921258532340227
Babble,15,redimnet,0.06844726822959207
Babble,20,campplus,0.05969338504976639
Babble,20,ecapa_tdnn,0.07016128258418618
Babble,20,redimnet,0.05094256827380695
Babble,5,campplus,0.14433021609033547
Babble,5,ecapa_tdnn,0.15935504753891733
Babble,5,redimnet,0.13800264624852515
noisy_gaussian,0,campplus,0.30194385972685
noisy_gaussian,0,ecapa_tdnn,0.32439908417998226
noisy_gaussian,0,redimnet,0.31268558231156646
noisy_gaussian,10,campplus,0.1391648812125406
noisy_gaussian,10,ecapa_tdnn,0.1507181770869115
noisy_gaussian,10,redimnet,0.12563867895647365
noisy_gaussian,15,campplus,0.10895331987135223
noisy_gaussian,15,ecapa_tdnn,0.1256597600544922
noisy_gaussian,15,redimnet,0.09541403215387456
noisy_gaussian,20,campplus,0.08793690099245638
noisy_gaussian,20,ecapa_tdnn,0.1044689426236657
noisy_gaussian,20,redimnet,0.07534123013648748
noisy_gaussian,5,campplus,0.20482423890575974
noisy_gaussian,5,ecapa_tdnn,0.21745665248057902
noisy_gaussian,5,redimnet,0.19899206666566494
Neighbor,0,campplus,0.29351855252502096
Neighbor,0,ecapa_tdnn,0.30160551976536587
Neighbor,0,redimnet,0.2975215185032096
Neighbor,10,campplus,0.10851188465365183
Neighbor,10,ecapa_tdnn,0.12125769140494766
Neighbor,10,redimnet,0.09476594904775706
Neighbor,15,campplus,0.07021902345963307
Neighbor,15,ecapa_tdnn,0.08330316862123058
Neighbor,15,redimnet,0.0580340540982804
Neighbor,20,campplus,0.05209108947830579
Neighbor,20,ecapa_tdnn,0.06335945173228946
Neighbor,20,redimnet,0.04220761150121532
Neighbor,5,campplus,0.18277639385146047
Neighbor,5,ecapa_tdnn,0.19346009697278232
Neighbor,5,redimnet,0.17432598896576362
noisy_poisson,0,campplus,0.16630166053473683
noisy_poisson,0,ecapa_tdnn,0.1818783605471817
noisy_poisson,0,redimnet,0.16326773060103933
noisy_poisson,10,campplus,0.06653180052264909
noisy_poisson,10,ecapa_tdnn,0.07574593703743016
noisy_poisson,10,redimnet,0.05415746879709249
noisy_poisson,15,campplus,0.054427319186557424
noisy_poisson,15,ecapa_tdnn,0.0648832007477723
noisy_poisson,15,redimnet,0.04435681980425228
noisy_poisson,20,campplus,0.050631026639663394
noisy_poisson,20,ecapa_tdnn,0.059852617775835046
noisy_poisson,20,redimnet,0.03981577218890822
noisy_poisson,5,campplus,0.09473051245145461
noisy_poisson,5,ecapa_tdnn,0.10617728440511964
noisy_poisson,5,redimnet,0.08435786488829619
noisy_rayleigh,0,campplus,0.3009042123636174
noisy_rayleigh,0,ecapa_tdnn,0.32384139737491713
noisy_rayleigh,0,redimnet,0.3133609253166066
noisy_rayleigh,10,campplus,0.1389743279565885
noisy_rayleigh,10,ecapa_tdnn,0.15225826087425734
noisy_rayleigh,10,redimnet,0.12599207381183974
noisy_rayleigh,15,campplus,0.10875276417889784
noisy_rayleigh,15,ecapa_tdnn,0.1253092606876519
noisy_rayleigh,15,redimnet,0.09633824916113823
noisy_rayleigh,20,campplus,0.08763144521967908
noisy_rayleigh,20,ecapa_tdnn,0.1042167307623464
noisy_rayleigh,20,redimnet,0.07530676237510822
noisy_rayleigh,5,campplus,0.2037656694186073
noisy_rayleigh,5,ecapa_tdnn,0.21812520408741143
noisy_rayleigh,5,redimnet,0.19841996776092582
